Ticker.Symbol,Sector,After.Tax.ROE,Capital.Expenditures,Cash.Ratio,Cash.and.Cash.Equivalents,Current.Ratio,Depreciation,Gross.Margin,Gross.Profit,Interest.Expense,Investments,Liabilities,Long.Term.Debt,Long.Term.Investments,Net.Cash.Flow,Net.Income,Operating.Income,Operating.Margin,Profit.Margin,Quick.Ratio,Research.and.Development,Total.Assets,Total.Equity,Total.Liabilities,Earnings.Per.Share,Estimated.Shares.Outstanding,wide$percent_change,Returns
SEE,Materials,43,-1.84E+08,19,351700000,123,213300000,37,2586600000,227700000,2.40E+07,81400000,4266800000,0,7.30E+07,225400000,763400000,11,3,86,0,7.41E+09,527100000,6877900000,1.63,138282208.6,0.051143012,High
SHW,Materials,121,-234340000,10,205744000,124,198562000,49,5559226000,61791000,-65593000,170819000,1920196000,0,165012000,1053849000,1615440000,14,9,77,0,5791855000,867910000,4923945000,11.38,92605360.28,-0.01307787,High
SNI,Consumer Discretionary,40,-52480000,23,223444000,177,921052000,67,2030870000,108047000,19456000,116100000,3511098000,807630000,-654720000,606828000,1103932000,37,20,177,0,6672314000,1523931000,5148383000,4.68,129664102.6,-0.266507225,Low
SO,Utilities,11,-7.39E+09,15,1.40E+09,71,2.40E+09,44,7.68E+09,8.40E+08,3.96E+08,-5.67E+08,2.47E+10,1.51E+09,6.94E+08,2.42E+09,4.28E+09,24,14,50,0,7.83E+10,2.20E+10,5.62E+10,2.6,931153846.2,-0.047240887,High
SPGI,Financials,596,-1.39E+08,51,1.48E+09,113,1.57E+08,100,5.31E+09,1.02E+08,-4.00E+06,-1.67E+09,3.47E+09,0,-1.02E+09,1.16E+09,1.92E+09,36,22,113,0,8.18E+09,1.94E+08,7.99E+09,4.26,271361502.3,0.107889398,High
SRCL,Industrials,10,-114761000,9,55634000,130,127412000,42,1266185000,77498000,294000,47811000,3052639000,0,33398000,267046000,487612000,16,9,130,0,7077450000,2729891000,4347559000,3.02,88425827.81,-0.079951204,Low
SRE,Utilities,11,-3.16E+09,9,4.30E+08,63,1.25E+09,35,3.58E+09,5.61E+08,2.77E+08,1.30E+08,1.33E+10,4.50E+09,-1.67E+08,1.35E+09,1.94E+09,19,13,56,0,4.12E+10,1.18E+10,2.93E+10,5.43,248618784.5,-0.155800995,Low
SYK,Health Care,17,-2.70E+08,116,3.38E+09,227,3.97E+08,66,6.60E+09,0,2.38E+09,-1.39E+09,3.23E+09,0,1.58E+09,1.44E+09,1.86E+09,19,14,180,6.25E+08,1.62E+10,8.51E+09,7.71E+09,3.82,376701570.7,-0.014735503,High
T,Telecommunications Services,11,-1.92E+10,11,5.12E+09,75,2.20E+10,54,7.98E+10,4.12E+09,7.48E+08,5.56E+08,1.19E+11,1.61E+09,-3.48E+09,1.33E+10,2.48E+10,17,9,75,0,4.03E+11,1.23E+11,2.80E+11,2.37,5630801688,0.024412027,High
TAP,Consumer Staples,5,-2.75E+08,35,430900000,103,325500000,39,1.40E+09,120300000,-1600000,-114900000,2908700000,2.44E+09,-150300000,359500000,521800000,15,10,89,0,12276300000,7.04E+09,5233300000,1.94,185309278.4,0.26033282,High
TDC,Information Technology,25,-5.20E+07,88,8.39E+08,182,1.70E+08,50,1.28E+09,9.00E+06,8.50E+07,1.60E+07,5.70E+08,0,5.00E+06,-2.14E+08,-1.95E+08,8,8,177,2.28E+08,2.53E+09,8.49E+08,1.68E+09,-1.53,139869281,-0.39514652,Low
TMO,Health Care,9,-422900000,11,452100000,138,1688200000,46,7755900000,0,1.20E+07,1.45E+08,11473900000,0,-891400000,1975400000,2336200000,14,12,90,692300000,4.09E+10,21350200000,19538800000,4.96,398266129,0.132173397,High
TRIP,Consumer Discretionary,14,-1.09E+08,212,6.14E+08,277,9.30E+07,96,1.43E+09,1.00E+07,5.30E+07,6.70E+07,2.00E+08,3.70E+07,1.59E+08,1.98E+08,2.32E+08,16,13,277,0,2.13E+09,1.41E+09,7.16E+08,1.38,143478260.9,0.141842961,High
TSO,Energy,30,-1.03E+09,37,9.42E+08,170,7.72E+08,22,6.25E+09,2.17E+08,-9.70E+07,-8.63E+08,4.07E+09,0,-5.80E+07,1.54E+09,2.83E+09,10,5,79,0,1.63E+10,5.21E+09,1.11E+10,12.5,123200000,0.417215949,High
TSS,Information Technology,20,-54640000,115,389328000,260,260502000,33,924360000,0,-1686000,-29853000,1383634000,106118000,100145000,369041000,534107000,19,13,260,0,3908300000,1843018000,2065282000,1.98,186384343.4,0.466431109,High
TXN,Information Technology,30,-5.51E+08,126,1.00E+09,277,1.13E+09,58,7.56E+09,9.00E+07,1.25E+08,-1.70E+08,3.12E+09,2.21E+08,-1.99E+08,2.99E+09,4.27E+09,33,23,211,1.28E+09,1.62E+10,9.95E+09,6.28E+09,2.86,1044055944,0.025060781,High
UAL,Industrials,82,-2.75E+09,42,3.06E+09,63,1.82E+09,68,2.57E+10,6.20E+08,1.90E+08,-7.28E+08,1.04E+10,0,1.00E+09,7.34E+09,5.17E+09,14,19,57,0,4.09E+10,8.97E+09,3.19E+10,19.52,376024590.2,-0.143369714,Low
UHS,Health Care,16,-912976000,6,61228000,156,398618000,100,9043451000,113494000,-3300000,90202000,3387303000,0,29159000,680528000,1259395000,14,8,146,0,9634113000,4249647000,5384466000,6.89,98770391.87,0.073970842,High
UNP,Industrials,23,-4.65E+09,43,1.39E+09,129,2.01E+09,80,1.74E+10,6.22E+08,0,-3.61E+08,1.36E+10,1.41E+09,-1.95E+08,4.77E+09,8.05E+09,37,22,106,0,5.46E+10,2.07E+10,3.39E+10,5.51,866061706,-0.343574255,Low
UPS,Industrials,196,-2.38E+09,44,2.73E+09,123,2.08E+09,78,4.54E+10,3.41E+08,-1.02E+09,-2.16E+08,1.13E+10,4.73E+08,4.39E+08,4.84E+09,7.67E+09,13,8,123,0,3.83E+10,2.47E+09,3.58E+10,5.38,900371747.2,-0.134388731,Low
UTX,Industrials,28,-1.65E+09,31,7.08E+09,118,1.86E+09,28,1.57E+10,8.24E+08,-8.70E+07,3.43E+08,1.93E+10,1.02E+09,1.63E+09,7.61E+09,7.29E+09,13,14,82,2.28E+09,8.75E+10,2.74E+10,6.01E+10,8.72,872477064.2,-0.164608696,Low
VLO,Energy,19,-1.62E+09,56,4.11E+09,203,1.84E+09,15,1.32E+10,4.33E+08,0,0,7.25E+09,0,4.25E+08,3.99E+09,6.36E+09,7,5,123,0,4.43E+10,2.05E+10,2.38E+10,8,498750000,0.428484828,High
VMC,Materials,5,-289262000,81,285210000,307,274823000,25,857533000,220588000,0,10394000,1980334000,40558000,142787000,221177000,549778000,16,6,209,0,8301632000,4454188000,3847444000,1.66,133239156.6,0.444850094,High
VRSK,Industrials,37,-166138000,10,138348000,41,228383000,61,1264736000,121316000,85309000,-63307000,2293179000,0,98989000,507577000,736562000,36,25,41,0,5615927000,1372011000,4243916000,3.07,165334527.7,0.200312153,High
VRSN,Information Technology,35,-40656000,127,228659000,131,73783000,82,866578000,107631000,-452302000,92001000,1235354000,0,37051000,375236000,605946000,57,35,131,63718000,2357737000,-1070447000,3428184000,3.29,114053495.4,0.532631596,High
VRTX,Health Care,59,-45302000,221,793678000,278,62343000,88,907824000,84206000,404402000,51303000,739503000,3.00E+07,89509000,-556334000,-466879000,45,54,267,995922000,2498875000,939967000,1558908000,-2.31,240837229.4,0.059175074,High
VZ,Telecommunications Services,109,-1.78E+10,14,4.47E+09,64,1.60E+10,60,7.91E+10,4.92E+09,0,2.55E+09,1.04E+11,7.96E+08,-6.13E+09,1.79E+10,3.31E+10,25,14,60,0,2.45E+11,1.64E+10,2.28E+11,4.38,4081963470,-0.011970885,High
WEC,Utilities,7,-1266200000,2,49800000,81,583500000,33,1976700000,331400000,-1338600000,4800000,9124100000,1466700000,-12100000,640300000,1250500000,21,11,56,0,29355200000,8685200000,2.07E+10,2.36,271313559.3,-0.027114163,High
WHR,Consumer Discretionary,17,-6.89E+08,10,7.72E+08,89,6.68E+08,18,3.69E+09,1.65E+08,-7.00E+07,-7.60E+07,3.47E+09,0,-2.54E+08,7.83E+08,1.29E+09,6,4,55,0,1.90E+10,4.74E+09,1.33E+10,9.95,78693467.34,-0.241922209,Low
WM,Industrials,14,-1.23E+09,2,3.90E+07,93,1.34E+09,36,4.73E+09,3.85E+08,-2.00E+07,-2.09E+08,8.68E+09,3.60E+08,-1.27E+09,7.53E+08,2.05E+09,16,6,90,0,2.04E+10,5.35E+09,1.50E+10,1.66,453614457.8,0.039945421,High
WMB,Energy,9,-3.17E+09,4,1.00E+08,61,1.82E+09,53,3.93E+09,1.04E+09,-7.07E+08,-6.40E+07,2.38E+10,7.34E+09,-1.40E+08,-5.71E+08,2.26E+08,3,8,56,0,4.90E+10,6.15E+09,4.29E+10,-0.76,751315789.5,-0.428126356,Low
WU,Information Technology,60,-94400000,16,1315900000,57,270200000,42,2284300000,167900000,-19900000,46700000,0,0,-467300000,837800000,1109400000,20,15,57,0,9458900000,1404900000,8.05E+09,1.63,513987730.1,0,High
WY,Real Estate,10,-4.79E+08,116,1.01E+09,248,4.79E+08,20,1.39E+09,3.47E+08,0,-1.18E+08,4.89E+09,7.40E+07,-5.68E+08,5.06E+08,9.19E+08,13,7,184,2.40E+07,1.25E+10,4.87E+09,7.62E+09,0.89,568539325.8,-0.164669801,Low
WYN,Consumer Discretionary,64,-2.22E+08,9,1.71E+08,96,2.34E+08,51,2.84E+09,1.25E+08,-1.70E+07,1.30E+08,4.96E+09,2.44E+09,-1.20E+07,6.12E+08,1.02E+09,18,11,80,0,9.72E+09,9.50E+08,8.77E+09,5.18,118146718.1,-0.152868467,Low
WYNN,Consumer Discretionary,174,-1921240000,198,2080089000,226,342414000,38,1545509000,300906000,-3660000,-220361000,9212765000,136983000,-102075000,195290000,658814000,16,5,219,0,10522259000,-111979000,10634238000,1.93,101186528.5,-0.534888382,Low
XEC,Energy,86,-1049636000,190,779382000,263,778923000,64,932745000,55157000,0,-276735000,1485620000,501000,373520000,-2408948000,-3740803000,258,166,250,0,5243286000,2797678000,2445608000,-25.92,92937808.64,-0.156792481,Low
XEL,Utilities,9,-3683359000,2,84940000,72,1249338000,36,3990853000,595282000,-22443000,-175214000,12490719000,1954078000,5332000,984485000,2000512000,18,9,57,0,39053535000,10600920000,28452615000,1.94,507466494.8,-0.000278341,High
XOM,Energy,9,-2.65E+10,7,3.71E+09,79,1.80E+10,36,9.39E+10,3.11E+08,2.35E+08,-7.47E+09,2.53E+10,3.42E+10,-9.11E+08,1.62E+10,1.29E+10,5,6,49,0,3.37E+11,1.71E+11,1.66E+11,3.85,4194805195,-0.156841541,Low
XRAY,Health Care,11,-7.20E+07,60,284600000,251,134200000,57,1517200000,55900000,24400000,13100000,1.14E+09,0,1.33E+08,251200000,375200000,14,9,180,0,4402900000,2.34E+09,2064900000,1.79,140335195.5,0.142293937,High
XRX,Information Technology,5,-2.51E+08,26,1.37E+09,127,1.19E+09,29,5.26E+09,0,0,2.21E+08,6.38E+09,3.97E+09,-4.30E+07,4.74E+08,4.12E+08,2,3,109,5.63E+08,2.48E+10,9.07E+09,1.57E+10,0.42,1128571429,-0.233044733,Low
XYL,Industrials,16,-1.17E+08,83,6.80E+08,244,1.33E+08,38,1.40E+09,5.50E+07,0,6.00E+06,1.20E+09,0,1.70E+07,3.40E+08,4.49E+08,12,9,191,9.50E+07,4.66E+09,2.08E+09,2.57E+09,1.88,180851063.8,-0.041239821,High
YHOO,Information Technology,15,-554163000,459,1631911000,588,719892000,58,2890553000,0,2446759000,-3427810000,1233485000,34651551000,-1032187000,-4359082000,-4748494000,96,88,588,1177923000,45203966000,29043537000,16160429000,-4.64,939457327.6,-0.341516545,Low
ZBH,Health Care,1,-434100000,100,1459300000,362,712400000,70,4197200000,286600000,588100000,-263100000,11556300000,0,3.76E+08,1.47E+08,467300000,8,2,223,268800000,27219500000,9887900000,17331600000,0.78,188461538.5,-0.095485824,Low
ZTS,Health Care,32,-2.24E+08,65,1.15E+09,215,1.99E+08,64,3.03E+09,1.24E+08,0,8.70E+07,4.53E+09,0,2.72E+08,3.39E+08,7.50E+08,16,7,133,3.64E+08,7.91E+09,1.07E+09,6.85E+09,0.68,498529411.8,0.113641625,High
