"X","Ticker.Symbol","Period.Ending","After.Tax.ROE","Capital.Expenditures","Cash.Ratio","Cash.and.Cash.Equivalents","Current.Ratio","Depreciation","Gross.Margin","Gross.Profit","Interest.Expense","Investments","Liabilities","Long.Term.Debt","Long.Term.Investments","Net.Cash.Flow","Net.Income","Operating.Income","Operating.Margin","Profit.Margin","Quick.Ratio","Research.and.Development","Total.Assets","Total.Equity","Total.Liabilities","Earnings.Per.Share","Estimated.Shares.Outstanding"
406,"CTL","2014-12-31",5,-3.047e+09,3,1.28e+08,69,4.407e+09,56,1.0185e+10,1.311e+09,0,-1.98e+08,1.9953e+10,0,-4e+07,7.72e+08,2.41e+09,13,4,69,0,4.9103e+10,1.5023e+10,3.408e+10,1.36,567647058.824
407,"CTL","2015-12-31",6,-2.872e+09,3,1.26e+08,58,4.186e+09,57,1.0122e+10,1.312e+09,0,-2.77e+08,1.8722e+10,0,-2e+06,8.78e+08,2.605e+09,15,5,58,0,4.7604e+10,1.406e+10,3.3544e+10,1.58,555696202.532
410,"CTSH","2014-12-31",19,-212200000,146,2010100000,248,208100000,40,4121600000,2500000,-257100000,137800000,937500000,0,-202900000,1439300000,1884900000,18,14,248,0,1.1479e+10,7740200000,3738800000,2.37,607299578.059
411,"CTSH","2015-12-31",17,-272800000,182,2125200000,291,3.3e+08,40,4975800000,17700000,-1096100000,502200000,881200000,0,115100000,1623600000,2.142e+09,17,13,291,0,13065400000,9278100000,3787300000,2.67,608089887.64
413,"CTXS","2014-12-31",12,-165417000,50,260149000,106,353563000,80,2522637000,28332000,-289305000,135634000,1292953000,1073110000,-20591000,251723000,302311000,10,8,105,553817000,5512007000,2173645000,3338362000,1.48,170083108.108
414,"CTXS","2015-12-31",16,-160825000,52,368518000,100,428892000,81,2661230000,44153000,205987000,229152000,1311071000,891964000,108369000,319361000,350085000,11,10,100,563975000,5467517000,1973446000,3494071000,2.01,158886069.652
417,"CVS","2014-12-31",12,-2.136e+09,13,2.481e+09,137,1.931e+09,18,2.5367e+10,6e+08,5.19e+08,2.815e+09,1.163e+10,0,-1.608e+09,4.644e+09,8.799e+09,6,3,74,0,7.4187e+10,3.7958e+10,3.6229e+10,3.98,1166834170.85
418,"CVS","2015-12-31",14,-2.367e+09,11,2.459e+09,126,2.092e+09,17,2.6528e+10,8.38e+08,3.87e+08,3.495e+09,2.6267e+10,0,-2.2e+07,5.237e+09,9.454e+09,6,3,65,0,9.2437e+10,3.7196e+10,5.5241e+10,4.66,1123819742.49
422,"CVX","2014-12-31",12,-3.5407e+10,41,1.2785e+10,132,1.6793e+10,28,5.5538e+10,0,-3.55e+08,-3.92e+08,2.4028e+10,2.9729e+10,-3.46e+09,1.9241e+10,1.9726e+10,10,10,112,0,2.66026e+11,1.55028e+11,1.10998e+11,10.21,1884524975.51
423,"CVX","2015-12-31",3,-2.9504e+10,43,1.1022e+10,134,2.1037e+10,29,3.714e+10,0,1.66e+08,-8.68e+08,3.3664e+10,2.9522e+10,-1.763e+09,4.587e+09,-3.71e+09,3,4,110,0,2.66103e+11,1.52716e+11,1.13387e+11,2.46,1864634146.34
426,"CXO","2014-12-31",10,-2589234000,0,21000,94,986812000,80,2121773000,216661000,41933000,82693000,3469137000,262349000,0,538175000,1089745000,41,20,94,0,11751780000,5280788000,6470992000,4.89,110056237.219
427,"CXO","2015-12-31",1,-2511403000,38,228550000,220,1230853000,70,1262214000,215384000,541574000,-73721000,3332188000,167038000,228529000,65900000,381003000,21,4,220,0,12641876000,6942551000,5699325000,0.54,122037037.037
430,"D","2014-12-31",11,-5.345e+09,8,6.05e+08,78,1.56e+09,37,4.555e+09,1.193e+09,-2.5e+07,-2.43e+08,2.1805e+10,5.561e+09,2e+06,1.31e+09,2.721e+09,22,11,58,0,5.4327e+10,1.1555e+10,4.2772e+10,2.25,582222222.222
431,"D","2015-12-31",15,-5.575e+09,8,6.23e+08,52,1.669e+09,47,5.482e+09,9.04e+08,-9.01e+08,-2.51e+08,2.3616e+10,5.774e+09,2.89e+08,1.899e+09,3.536e+09,30,16,35,0,5.8797e+10,1.2664e+10,4.6133e+10,3.21,591588785.047
433,"DAL","2014-12-31",7,-2.249e+09,26,3.166e+09,54,1.771e+09,43,1.7395e+10,6.5e+08,-2.62e+08,-1e+08,8.477e+09,0,-7.56e+08,6.59e+08,2.206e+09,5,2,49,0,5.4005e+10,8.813e+09,4.5192e+10,0.79,834177215.19
434,"DAL","2015-12-31",42,-2.945e+09,31,3.959e+09,52,1.835e+09,58,2.3608e+10,4.81e+08,-7.59e+08,-2.95e+08,6.766e+09,0,-1.16e+08,4.526e+09,7.802e+09,19,11,48,0,5.3134e+10,1.085e+10,4.2284e+10,5.68,796830985.915
437,"DD","2014-12-31",27,-2.02e+09,51,6.91e+09,189,1.617e+09,40,1.1383e+10,3.77e+08,4.44e+08,-8.7e+08,9.233e+09,7.62e+08,-2.031e+09,3.625e+09,3.889e+09,14,13,140,1.958e+09,5.049e+10,1.332e+10,3.717e+10,3.95,917721518.987
438,"DD","2015-12-31",20,-1.629e+09,60,5.3e+09,169,1.466e+09,40,1.0018e+10,3.42e+08,-1.61e+08,-1.302e+09,7.642e+09,6.88e+08,-1.61e+09,1.953e+09,3.046e+09,12,8,109,1.898e+09,4.1166e+10,9.993e+09,3.1173e+10,2.17,9e+08
454,"DGX","2014-12-31",13,-3.08e+08,11,1.92e+08,94,3.14e+08,38,2.798e+09,1.64e+08,1.1e+07,-1.6e+07,3.224e+09,4.6e+07,5e+06,5.56e+08,9.83e+08,13,7,87,0,9.857e+09,4.301e+09,5.556e+09,3.83,145169712.794
455,"DGX","2015-12-31",15,-2.63e+08,11,1.33e+08,128,3.04e+08,38,2.836e+09,1.53e+08,-3.2e+07,-7.2e+07,3.492e+09,4.73e+08,-5.9e+07,7.09e+08,1.399e+09,19,9,121,0,9.962e+09,4.684e+09,5.278e+09,4.92,144105691.057
462,"DHR","2014-12-31",11,-580600000,56,3005600000,175,889500000,52,9892600000,119100000,253800000,2.27e+08,3401500000,0,-109600000,2598400000,3346600000,17,14,142,1.157e+09,36991700000,23378100000,13613600000,3.7,702270270.27
463,"DHR","2015-12-31",14,-6.33e+08,13,790800000,127,1051300000,52,10762500000,162800000,-44100000,221800000,12025200000,0,-2214800000,3357400000,3469100000,17,16,93,1239100000,48222200000,23690300000,24531900000,4.81,698004158.004
477,"DLPH","2014-12-31",54,-7.79e+08,22,8.6e+08,134,5.49e+08,20,3.028e+09,1.35e+08,0,-1.6e+08,2.392e+09,9.8e+07,-4.85e+08,1.351e+09,1.758e+09,11,9,108,0,1.0721e+10,2.51e+09,8.211e+09,4.5,300222222.222
478,"DLPH","2015-12-31",64,-7.04e+08,14,5.36e+08,130,5.51e+08,20,3.01e+09,1.27e+08,0,-5.8e+07,3.956e+09,9.4e+07,-3.25e+08,1.45e+09,1.723e+09,11,10,100,0,1.1973e+10,2.25e+09,9.723e+09,5.08,285433070.866
490,"DNB","2014-12-31",24,-9800000,27,316300000,80,85400000,100,1584500000,43300000,-7700000,-60900000,1352200000,10400000,83500000,294400000,411400000,26,19,80,0,1986200000,-1203300000,3189500000,8.06,36526054.5906
491,"DNB","2015-12-31",15,-12800000,38,365700000,100,98500000,100,1637100000,5.1e+07,-21900000,4400000,1804100000,4200000,46300000,168800000,3.37e+08,21,10,100,0,2273600000,-1116800000,3390400000,4.68,36068376.0684
493,"DOV","2014-12-31",21,-166033000,33,681581000,139,307188000,38,2974249000,131689000,0,43213000,2253041000,0,-122301000,775235000,1215484000,16,10,97,0,9030291000,3700725000,5329566000,4.65,166717204.301
494,"DOV","2015-12-31",24,-154251000,26,362185000,177,327089000,37,2568144000,131676000,-17752000,-108335000,2603655000,0,-319396000,869829000,920762000,13,13,118,0,8606076000,3644575000,4961501000,5.52,157577717.391
497,"DPS","2014-12-31",31,-1.7e+08,23,2.37e+08,117,1.7e+08,59,3.63e+09,1.09e+08,0,7.5e+07,2.58e+09,1.4e+07,9e+07,7.03e+08,1.18e+09,19,11,97,0,8.265e+09,2.294e+09,5.971e+09,3.59,195821727.019
498,"DPS","2015-12-31",35,-1.79e+08,58,9.11e+08,115,1.63e+08,59,3.723e+09,1.17e+08,-3.5e+07,2.2e+07,2.875e+09,3.1e+07,6.83e+08,7.64e+08,1.298e+09,21,12,102,0,8.869e+09,2.183e+09,6.686e+09,4,1.91e+08
506,"DUK","2014-12-31",5,-5.384e+09,18,2.036e+09,103,3.507e+09,40,9.602e+09,1.622e+09,5.8e+07,-3.6e+07,3.7061e+10,5.904e+09,5.35e+08,1.883e+09,5.258e+09,22,8,72,0,1.20557e+11,4.0875e+10,7.9682e+10,2.66,707894736.842
507,"DUK","2015-12-31",7,-6.766e+09,8,8.57e+08,73,3.613e+09,41,9.731e+09,1.613e+09,1.374e+09,-1.19e+08,3.7495e+10,6.324e+09,-1.179e+09,2.816e+09,5.367e+09,23,12,40,0,1.21156e+11,3.9727e+10,8.1429e+10,4.05,695308641.975
510,"DVA","2014-12-31",14,-641330000,62,965241000,174,590935000,29,3675801000,0,-372078000,115837000,8298624000,155026000,18992000,723114000,1815141000,14,6,168,0,17617432000,5170513000,12446919000,3.41,212056891.496
511,"DVA","2015-12-31",6,-707998000,79,1499116000,188,638024000,29,3957003000,0,-97032000,256947000,9001308000,167490000,533875000,269732000,1170695000,8,2,180,0,18514875000,4870780000,13644095000,1.27,212387401.575
513,"DVN","2014-12-31",7,-1.345e+10,25,1.48e+09,109,3.571e+09,89,1.8306e+10,5.26e+08,5.7e+07,7.9e+07,9.83e+09,0,-4.586e+09,1.607e+09,4.698e+09,23,8,109,0,5.0637e+10,2.1539e+10,2.9098e+10,3.93,408905852.417
514,"DVN","2015-12-31",205,-6.415e+09,70,2.31e+09,122,3.385e+09,84,1.1041e+10,5.17e+08,0,-6e+06,1.2056e+10,0,8.3e+08,-1.4454e+10,-2.0727e+10,158,110,122,0,2.9451e+10,7.049e+09,2.2402e+10,-35.55,406582278.481
521,"EBAY","2014-12-31",0,-6.22e+08,45,4.105e+09,151,6.82e+08,81,7.127e+09,0,-6.37e+08,1.36e+08,6.777e+09,5.736e+09,1.834e+09,4.6e+07,2.476e+09,28,1,151,9.83e+08,4.5132e+10,1.9906e+10,2.5226e+10,0.04,1.15e+09
522,"EBAY","2015-12-31",26,-6.68e+08,271,1.832e+09,349,6.87e+08,79,6.821e+09,0,3.7e+07,-1e+06,6.749e+09,3.391e+09,-4.496e+09,1.725e+09,2.197e+09,26,20,349,9.23e+08,1.7755e+10,6.576e+09,1.1179e+10,1.43,1206293706.29
526,"ECL","2014-12-31",16,-748700000,5,209600000,111,8.72e+08,46,6601400000,256600000,7600000,309700000,4843400000,0,-129600000,1202800000,1.955e+09,14,8,78,0,19427400000,7315900000,12111500000,4.01,299950124.688
527,"ECL","2015-12-31",15,-7.71e+08,2,92800000,93,859500000,47,6321600000,243600000,108400000,62300000,4260200000,0,-116800000,1002100000,1561300000,12,7,64,0,18641700000,6909900000,11731800000,3.38,296479289.941
529,"ED","2014-12-31",9,0,19,6.99e+08,99,1.192e+09,40,5.112e+09,5.91e+08,-2.676e+09,2.17e+08,1.1546e+10,8.16e+08,2.5e+07,1.092e+09,2.209e+09,17,8,89,0,4.4071e+10,1.2576e+10,3.1495e+10,3.73,292761394.102
530,"ED","2015-12-31",9,0,20,9.44e+08,81,1.078e+09,44,5.494e+09,6.53e+08,-3.353e+09,2.01e+08,1.2006e+10,8.84e+08,2.49e+08,1.193e+09,2.427e+09,19,10,74,0,4.5642e+10,1.3052e+10,3.259e+10,4.07,293120393.12
534,"EFX","2014-12-31",17,-86400000,16,128300000,72,204200000,65,1591700000,68600000,-2500000,60800000,1145700000,0,-107600000,367400000,638200000,26,15,72,0,4.661e+09,2200100000,2460900000,3.03,121254125.413
535,"EFX","2015-12-31",19,-146200000,15,93300000,93,2e+08,67,1776200000,63800000,-1e+05,123800000,1145900000,0,-3.5e+07,429100000,693900000,26,16,93,0,4.509e+09,2310900000,2198100000,3.61,118864265.928
538,"EIX","2014-12-31",16,-3.906e+09,2,1.32e+08,65,1.815e+09,35,4.671e+09,5.6e+08,-4.4e+07,1.4e+07,1.0234e+10,5.225e+09,-1.4e+07,1.721e+09,2.472e+09,18,13,60,0,4.9734e+10,1.096e+10,3.8774e+10,4.95,347676767.677
539,"EIX","2015-12-31",10,-4.225e+09,3,1.61e+08,54,2.005e+09,37,4.268e+09,5.55e+08,3.74e+08,8e+06,1.0964e+10,4.618e+09,2.9e+07,1.117e+09,2.008e+09,17,10,48,0,5.031e+10,1.1368e+10,3.8942e+10,3.13,356869009.585
546,"EMN","2014-12-31",21,-5.93e+08,11,2.14e+08,157,4.5e+08,23,2.221e+09,1.87e+08,0,-1.95e+08,7.248e+09,0,-2.3e+07,7.51e+08,1.162e+09,12,8,82,2.27e+08,1.6072e+10,3.51e+09,1.2562e+10,5.03,149304174.95
547,"EMN","2015-12-31",22,-6.52e+08,14,2.93e+08,140,5.71e+08,27,2.58e+09,2.63e+08,0,-3.61e+08,6.608e+09,0,7.9e+07,8.48e+08,1.384e+09,14,9,68,2.51e+08,1.5611e+10,3.941e+09,1.167e+10,5.71,148511383.538
554,"EOG","2014-12-31",16,-8246805000,62,2087213000,160,3997041000,86,15500951000,201458000,0,635536000,5903354000,0,769004000,2915487000,5241823000,29,16,139,0,34762687000,17712582000,17050105000,5.36,543934141.791
